"last_name, first_name",player_id,year,PA,xBA,xSLG,wOBA,xwOBA,xOBP,xISO,wOBAcon,xwOBAcon,Avg Swing Length,Sweet Spot%,Barrel%,Hard Hit%,Z-Swing%,O-Swing%,Whiff%,batted_ball,EV90,Z-O Swing%
"Pujols, Albert",405395,2022,351,0.262,0.499,0.38,0.365,0.343,0.237,0.415,0.395,,34.5,12.0,47.3,63.5,34.9,21.3,258,106.1,28.6
"Cabrera, Miguel",408234,2022,433,0.234,0.331,0.275,0.275,0.29,0.096,0.329,0.329,,35.2,4.7,38.2,71.3,31.5,27.0,301,103.92,39.8
"Cruz Jr., Nelson",443558,2022,507,0.241,0.399,0.292,0.32,0.323,0.157,0.334,0.377,,28.0,9.3,46.1,72.4,31.1,32.0,332,107.23,41.300000000000004
"Peralta, David",444482,2022,490,0.249,0.399,0.315,0.313,0.318,0.15,0.378,0.375,,35.0,8.5,44.4,69.2,32.9,26.4,331,105.4,36.300000000000004
"Blackmon, Charlie",453568,2022,577,0.256,0.376,0.317,0.301,0.308,0.12,0.366,0.345,,36.7,4.4,30.6,70.1,32.0,21.4,428,102.05,38.099999999999994
"Maldonado, Martín",455117,2022,379,0.181,0.325,0.264,0.253,0.245,0.144,0.343,0.326,,31.6,8.1,40.2,69.1,31.0,32.2,234,102.88000000000001,38.099999999999994
"McCutchen, Andrew",457705,2022,580,0.252,0.406,0.309,0.325,0.329,0.155,0.348,0.371,,36.2,8.6,40.0,68.5,20.8,24.2,395,104.1,47.7
"Turner, Justin",457759,2022,532,0.267,0.427,0.343,0.339,0.343,0.16,0.372,0.367,,40.6,8.0,40.6,70.4,26.7,20.3,387,103.0,43.7
"Votto, Joey",458015,2022,376,0.218,0.39,0.31,0.322,0.331,0.172,0.351,0.372,,32.9,11.1,41.3,70.8,23.0,29.6,225,104.5,47.8
"Andrus, Elvis",462101,2022,577,0.245,0.36,0.31,0.293,0.3,0.114,0.338,0.316,,29.1,4.5,34.8,62.3,29.4,21.4,443,102.5,32.9
"Santana, Carlos",467793,2022,506,0.253,0.438,0.308,0.352,0.361,0.185,0.308,0.372,,31.6,9.3,44.9,63.9,21.7,21.3,345,105.7,42.2
"Gurriel Jr., Yuli",493329,2022,584,0.24,0.319,0.285,0.271,0.286,0.079,0.297,0.28,,30.3,1.9,35.6,63.1,34.9,14.3,475,103.1,28.200000000000003
"Rojas, Miguel",500743,2022,507,0.264,0.347,0.268,0.293,0.31,0.083,0.276,0.306,,33.1,1.9,27.1,66.2,30.4,15.8,414,101.28,35.800000000000004
"Escobar, Eduardo",500871,2022,542,0.243,0.427,0.311,0.314,0.3,0.183,0.381,0.385,,38.7,9.4,37.6,73.5,34.0,27.7,372,104.3,39.5
"Pham, Tommy",502054,2022,622,0.238,0.383,0.304,0.311,0.315,0.145,0.371,0.383,,33.2,7.9,48.5,60.8,21.6,26.0,392,106.1,39.199999999999996
"Martinez, J.D.",502110,2022,596,0.26,0.471,0.343,0.349,0.33,0.211,0.42,0.429,,42.0,12.5,41.7,74.9,31.9,30.1,393,105.6,43.00000000000001
"Goldschmidt, Paul",502671,2022,651,0.261,0.482,0.419,0.367,0.357,0.221,0.506,0.426,,31.8,11.6,47.4,59.8,25.1,26.8,424,106.98,34.699999999999996
"Altuve, Jose",514888,2022,604,0.269,0.44,0.397,0.354,0.362,0.171,0.425,0.367,,35.4,7.7,29.7,64.0,28.6,16.3,441,102.13,35.4
"Hernández, César",514917,2022,617,0.248,0.329,0.283,0.29,0.312,0.081,0.307,0.317,,33.3,2.4,29.7,68.7,25.9,21.0,451,101.56,42.800000000000004
"Segura, Jean",516416,2022,387,0.254,0.363,0.32,0.303,0.316,0.109,0.343,0.322,,28.3,4.4,38.4,64.4,34.7,18.5,297,104.64,29.700000000000003
"Marte, Starling",516782,2022,505,0.276,0.428,0.355,0.336,0.332,0.153,0.412,0.386,,38.5,6.8,33.9,67.5,32.8,24.3,369,105.61999999999999,34.7
"d'Arnaud, Travis",518595,2022,426,0.247,0.412,0.343,0.313,0.3,0.166,0.409,0.367,,35.0,8.5,38.9,70.1,35.5,26.9,306,104.0,34.599999999999994
"Donaldson, Josh",518626,2022,546,0.215,0.37,0.302,0.299,0.303,0.154,0.363,0.36,,34.8,9.8,43.3,66.6,29.3,33.3,336,105.5,37.3
"Freeman, Freddie",518692,2022,708,0.313,0.538,0.393,0.403,0.4,0.225,0.426,0.44,,42.9,9.9,47.8,73.9,27.3,19.5,517,104.47,46.60000000000001
"Grandal, Yasmani",518735,2022,376,0.217,0.319,0.263,0.29,0.317,0.102,0.268,0.308,,30.0,4.8,40.0,58.6,20.8,21.6,250,104.11,37.8
"LeMahieu, DJ",518934,2022,541,0.274,0.403,0.329,0.344,0.369,0.13,0.324,0.344,,32.8,5.3,41.1,53.9,24.5,15.7,399,103.13,29.4
"Rizzo, Anthony",519203,2022,548,0.239,0.454,0.352,0.349,0.35,0.215,0.379,0.374,,34.2,10.9,41.0,64.1,29.7,22.8,366,104.4,34.39999999999999
"Stanton, Giancarlo",519317,2022,452,0.24,0.474,0.327,0.35,0.328,0.234,0.431,0.471,,26.9,19.3,52.3,62.1,26.8,36.5,264,114.18,35.3
"Perez, Salvador",521692,2022,473,0.242,0.47,0.324,0.323,0.282,0.228,0.403,0.402,,34.8,11.2,49.0,77.1,43.2,31.8,339,106.13999999999999,33.89999999999999
"Flores, Wilmer",527038,2022,602,0.233,0.37,0.312,0.31,0.322,0.137,0.326,0.323,,35.7,6.3,35.4,66.5,26.6,18.9,429,101.6,39.9
"García, Avisaíl",541645,2022,380,0.23,0.366,0.258,0.281,0.273,0.136,0.334,0.369,,27.6,6.4,44.8,82.1,40.7,36.7,250,106.73,41.39999999999999
"Ozuna, Marcell",542303,2022,507,0.253,0.475,0.298,0.334,0.3,0.222,0.364,0.417,,31.8,13.1,43.8,68.2,33.4,28.7,352,106.91000000000001,34.800000000000004
"Ortega, Rafael",542364,2022,371,0.241,0.346,0.305,0.307,0.334,0.104,0.327,0.331,,37.6,4.8,33.7,67.5,25.8,19.6,250,101.52,41.7
"Aguilar, Jesús",542583,2022,507,0.24,0.393,0.288,0.298,0.288,0.153,0.35,0.364,,39.7,6.9,36.0,64.7,36.3,27.0,350,102.92,28.400000000000006
"Berti, Jon",542932,2022,404,0.236,0.358,0.298,0.306,0.322,0.122,0.331,0.343,,30.7,5.9,37.0,65.5,22.3,24.5,270,103.22,43.2
"Crawford, Brandon",543063,2022,458,0.217,0.339,0.289,0.287,0.3,0.122,0.322,0.319,,31.0,6.7,35.1,76.2,26.2,31.9,313,101.5,50.0
"Cron, C.J.",543068,2022,632,0.243,0.435,0.335,0.32,0.305,0.192,0.428,0.406,,36.8,10.8,42.3,62.9,33.2,24.3,416,106.82000000000001,29.699999999999996
"Grossman, Robbie",543257,2022,477,0.205,0.305,0.283,0.281,0.307,0.1,0.322,0.319,,38.5,3.5,30.4,62.9,19.3,23.9,286,99.95,43.599999999999994
"Harrison, Josh",543281,2022,425,0.233,0.335,0.305,0.284,0.297,0.102,0.329,0.302,,32.0,3.8,32.3,72.9,35.1,21.5,319,100.72,37.800000000000004
