last_name,first_name,player_id,year,PA,wOBA,xwOBA,xBA,xSLG,Barrel%,HardHit%,O-Contact%,Z-Contact%,O-Swing%,Z-Swing%,Whiff%,Z-O Swing%,Pulled FB%,EV90,Sweet Spot%,Bat Speed
Judge,Aaron,592450.0,2024,704,0.476,0.48,0.31,0.724,0.26899999999999996,0.611,0.489,0.807,0.213,0.7190000000000001,0.121,0.5060000000000001,20.51282051282051,111.26,40.256410256410255,75.68122743682311
Jr.,Bobby,677951.0,2024,709,0.41,0.407,0.315,0.576,0.14300000000000002,0.483,0.7,0.884,0.354,0.748,0.098,0.394,15.241635687732341,109.43,36.2453531598513,73.18963815789475
Ohtani,Shohei,660271.0,2024,731,0.431,0.442,0.314,0.66,0.214,0.598,0.594,0.82,0.305,0.705,0.125,0.39999999999999997,15.598290598290598,111.93,37.17948717948718,74.7213654618474
Soto,Juan,665742.0,2024,713,0.421,0.463,0.317,0.647,0.19699999999999998,0.568,0.674,0.8640000000000001,0.213,0.601,0.07400000000000001,0.388,11.930585683297181,110.01,35.35791757049891,72.93925417075565
Henderson,Gunnar,683002.0,2024,719,0.381,0.373,0.283,0.492,0.11199999999999999,0.539,0.623,0.858,0.262,0.6859999999999999,0.098,0.42399999999999993,10.73684210526316,108.07,34.73684210526316,74.72575387123064
Lindor,Francisco,596019.0,2024,689,0.363,0.379,0.283,0.528,0.136,0.474,0.662,0.8540000000000001,0.305,0.715,0.10300000000000001,0.41,13.96761133603239,104.98,36.23481781376518,70.81055194805195
Duran,Jarren,680776.0,2024,735,0.357,0.338,0.271,0.448,0.09300000000000001,0.439,0.602,0.887,0.312,0.708,0.105,0.39599999999999996,12.233009708737864,106.87,33.980582524271846,71.81527446300716
Cruz,Elly,682829.0,2024,696,0.349,0.328,0.24,0.428,0.127,0.457,0.498,0.805,0.297,0.624,0.138,0.327,18.11414392059553,108.7,35.483870967741936,72.72762681159419
Ramirez,Jose,608070.0,2024,682,0.364,0.329,0.259,0.453,0.086,0.396,0.7829999999999999,0.922,0.348,0.706,0.067,0.358,11.580882352941178,103.9,34.74264705882353,69.80444091990483
Marte,Ketel,606466.0,2024,583,0.391,0.392,0.294,0.539,0.12300000000000001,0.536,0.674,0.88,0.293,0.733,0.092,0.44,10.073710073710075,108.5,33.660933660933665,71.98656716417909
Contreras,William,661388.0,2024,679,0.359,0.358,0.269,0.471,0.1,0.495,0.5720000000000001,0.8370000000000001,0.29100000000000004,0.743,0.12300000000000001,0.45199999999999996,10.675381263616558,108.52,29.847494553376908,72.66031613976706
Chapman,Matt,656305.0,2024,647,0.34,0.34,0.25,0.451,0.126,0.48200000000000004,0.687,0.8490000000000001,0.27699999999999997,0.6579999999999999,0.092,0.38099999999999995,11.694510739856803,109.46000000000001,31.26491646778043,74.53199268738574
Raleigh,Cal,663728.0,2024,628,0.323,0.346,0.233,0.476,0.154,0.48100000000000004,0.58,0.8170000000000001,0.361,0.7609999999999999,0.146,0.3999999999999999,10.904255319148938,106.36,35.37234042553192,72.82459415584415
Jr.,Vladimir,665489.0,2024,697,0.398,0.409,0.321,0.568,0.13699999999999998,0.5479999999999999,0.667,0.878,0.306,0.71,0.096,0.40399999999999997,12.022900763358779,110.38000000000001,35.87786259541985,74.55034843205576
Merrill,Jackson,701538.0,2024,593,0.352,0.372,0.303,0.534,0.113,0.439,0.701,0.8759999999999999,0.38299999999999995,0.807,0.10800000000000001,0.4240000000000001,19.037199124726477,104.94000000000001,39.38730853391685,70.15918189730199
Alvarez,Yordan,670541.0,2024,635,0.402,0.411,0.304,0.596,0.145,0.49700000000000005,0.684,0.907,0.335,0.691,0.08900000000000001,0.3559999999999999,18.22125813449024,109.6,34.924078091106296,75.21972111553785
Rooker,Brent,667670.0,2024,614,0.392,0.38,0.266,0.557,0.166,0.496,0.462,0.8390000000000001,0.341,0.748,0.159,0.407,15.81769436997319,108.5,38.337801608579085,71.82517985611511
Harper,Bryce,547180.0,2024,631,0.38,0.355,0.266,0.47,0.10400000000000001,0.47700000000000004,0.581,0.883,0.366,0.805,0.131,0.43900000000000006,17.83132530120482,107.0,35.66265060240964,72.4596694214876
Adames,Willy,642715.0,2024,688,0.342,0.339,0.243,0.461,0.12,0.40700000000000003,0.5710000000000001,0.836,0.315,0.732,0.129,0.417,16.363636363636363,104.11,37.72727272727273,71.99251336898395
Ozuna,Marcell,542303.0,2024,688,0.395,0.402,0.286,0.572,0.154,0.5329999999999999,0.5489999999999999,0.8140000000000001,0.29600000000000004,0.7490000000000001,0.136,0.45300000000000007,12.727272727272727,107.0,40.22727272727273,72.33336019339242
Seager,Corey,608369.0,2024,533,0.365,0.387,0.286,0.558,0.152,0.507,0.584,0.8909999999999999,0.317,0.8240000000000001,0.114,0.5070000000000001,15.223097112860891,107.4,38.582677165354326,70.72472406181015
Betts,Mookie,605141.0,2024,516,0.371,0.356,0.282,0.447,0.06,0.395,0.6859999999999999,0.9490000000000001,0.22899999999999998,0.654,0.055999999999999994,0.42500000000000004,16.49484536082474,102.03,39.948453608247426,66.85281690140845
Profar,Jurickson,595777.0,2024,668,0.365,0.364,0.282,0.444,0.07200000000000001,0.444,0.72,0.905,0.26,0.7070000000000001,0.07,0.44700000000000006,11.914893617021278,105.2,31.914893617021278,69.41963302752295
Carroll,Corbin,682998.0,2024,684,0.325,0.326,0.243,0.394,0.07200000000000001,0.408,0.7190000000000001,0.884,0.27699999999999997,0.613,0.075,0.336,11.040339702760086,106.0,28.237791932059448,71.4756169792695
Semien,Marcus,543760.0,2024,718,0.306,0.313,0.251,0.391,0.066,0.35200000000000004,0.642,0.904,0.303,0.787,0.095,0.48400000000000004,11.355311355311356,101.7,33.6996336996337,66.30436893203883
Bailey,Patrick,672275.0,2024,448,0.281,0.319,0.258,0.398,0.055,0.42700000000000005,0.585,0.883,0.27899999999999997,0.726,0.102,0.447,14.563106796116504,104.8,36.89320388349515,69.84159402241595
Correa,Carlos,621043.0,2024,367,0.385,0.355,0.274,0.451,0.091,0.445,0.708,0.8809999999999999,0.28600000000000003,0.6779999999999999,0.08199999999999999,0.3919999999999999,11.450381679389313,108.06,34.35114503816794,73.16059544658494
Devers,Rafael,646240.0,2024,601,0.364,0.363,0.271,0.507,0.13,0.526,0.652,0.76,0.33299999999999996,0.757,0.14300000000000002,0.42400000000000004,13.28125,108.8,35.9375,70.75474060822897
Kwan,Steven,680757.0,2024,540,0.349,0.333,0.284,0.385,0.026000000000000002,0.237,0.831,0.972,0.222,0.597,0.027999999999999997,0.375,16.937354988399072,99.0,38.51508120649652,62.61208053691275
