"last_name, first_name","player_id","year","pa","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","avg_swing_length","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","z_swing_percent","oz_swing_percent","whiff_percent","batted_ball"
"Alfaro, Jorge","595751","2020","100",".220",".379",".271",".283",".275",".159",".395",".417",,31.6,7,49.1,80.7,44.3,41.7,"57"
"Sisco, Chance","642082","2020","121",".194",".376",".335",".327",".348",".181",".427",".409",,45.6,12.3,36.8,68.8,21.2,37.2,"57"
"Fowler, Dexter","451594","2020","101",".214",".351",".310",".292",".300",".136",".381",".351",,33.9,4.8,27.4,71.6,22.5,31.7,"62"
"Bart, Joey","663698","2020","111",".200",".292",".271",".248",".258",".092",".392",".352",,29,4.8,48.4,66.5,38.6,34.5,"62"
"Barnes, Austin","605131","2020","104",".193",".279",".306",".274",".310",".086",".329",".277",,21.5,1.5,35.4,71.7,16.2,24.9,"65"
"Ward, Taylor","621493","2020","102",".250",".396",".314",".309",".308",".146",".400",".393",,31.8,4.5,47,63.3,23.9,24,"66"
"Varsho, Daulton","662139","2020","115",".196",".347",".287",".288",".294",".150",".341",".343",,27.9,4.4,38.2,65.4,28,30.6,"68"
"Bader, Harrison","664056","2020","125",".196",".418",".337",".324",".313",".223",".439",".414",,35.8,11.9,35.8,59.8,27.9,27.9,"67"
"Judge, Aaron","592450","2020","114",".265",".545",".375",".378",".344",".281",".491",".500",,36.2,11.6,40.6,68.4,23.3,33.5,"69"
"Narváez, Omar","553882","2020","126",".172",".294",".262",".269",".291",".121",".295",".309",,36.2,7.2,21.7,68.8,33,29.5,"69"
"Adell, Jo","666176","2020","132",".174",".289",".212",".229",".224",".115",".324",".361",,30.4,4.3,36.2,70.1,34.1,42.1,"69"
"Barnhart, Tucker","571466","2020","110",".226",".408",".296",".315",".311",".182",".346",".375",,35.7,7.1,18.6,64.9,23.6,24.7,"70"
"Tauchman, Mike","643565","2020","111",".253",".324",".286",".300",".353",".071",".320",".343",,34.3,1.4,24.3,68.6,21,28.9,"70"
"Olivares, Edward","658668","2020","101",".260",".366",".275",".286",".287",".106",".347",".363",,33.3,5.6,27.8,70.6,32.7,24.9,"72"
"Stassi, Max","545358","2020","105",".270",".567",".370",".390",".354",".297",".423",".452",,31.9,11.1,41.7,67.7,23.5,26.5,"72"
"Brinson, Lewis","621446","2020","112",".247",".390",".275",".296",".287",".143",".350",".381",,27.6,7.9,36.8,71.4,36.1,30.8,"76"
"O'Hearn, Ryan","656811","2020","132",".234",".389",".269",".320",".339",".155",".308",".396",,32.5,6.5,44.2,63.8,22.7,29.9,"77"
"Urías, Luis","649966","2020","120",".225",".292",".273",".270",".297",".067",".325",".322",,22.1,1.3,27.3,56.7,25.5,22.7,"77"
"Taveras, Leody","665750","2020","134",".232",".375",".307",".305",".312",".143",".408",".405",,42.9,6.5,41.6,65.1,30.7,30.2,"77"
"Kingery, Scott","664068","2020","124",".221",".404",".227",".302",".287",".183",".269",".390",,30.4,10.1,31.6,71.1,31.8,31.5,"79"
"Murphy, Sean","669221","2020","140",".217",".440",".358",".348",".351",".223",".421",".404",,31.6,12.7,49.4,64.6,19.7,25.3,"79"
"Tucker, Cole","657061","2020","116",".192",".253",".233",".215",".226",".061",".295",".270",,25,2.5,25,65,27.6,30.3,"80"
"Long Jr., Shed","643418","2020","128",".175",".304",".238",".248",".246",".129",".284",".301",,21.3,6.3,32.5,62.1,28.3,34.7,"80"
"Thames, Eric","519346","2020","140",".219",".379",".276",".305",".314",".160",".335",".385",,35.8,6.2,46.9,67.9,31.7,29.2,"81"
"Pham, Tommy","502054","2020","125",".257",".450",".284",".353",".354",".192",".296",".402",,22,7.3,50,58,20.3,27.2,"82"
"Kemp, Tony","643393","2020","114",".256",".349",".307",".329",".372",".094",".273",".303",,42.7,1.2,15.9,68.1,18.9,13.4,"82"
"Vogelbach, Daniel","596129","2020","136",".229",".411",".317",".335",".349",".182",".352",".382",,29.3,8.5,41.5,51.3,16,22.2,"82"
"Mendick, Danny","664901","2020","114",".222",".311",".285",".257",".263",".090",".341",".303",,30.1,2.4,31.3,59.7,24.6,25.3,"83"
"Camargo, Johan","622666","2020","127",".184",".316",".262",".240",".229",".133",".334",".300",,23.5,4.7,32.9,69.1,30.1,33.9,"85"
"Renfroe, Hunter","592669","2020","139",".204",".438",".277",".318",".297",".233",".318",".385",,23.3,10.5,39.5,57.5,26.9,32.1,"86"
"Berti, Jon","542932","2020","149",".241",".316",".337",".323",".374",".074",".373",".348",,32.6,3.5,33.7,53.7,16.2,19.5,"86"
"Frazier, Clint","640449","2020","160",".246",".447",".388",".363",".377",".200",".483",".437",,38.6,12.5,43.2,59.6,14.4,31.7,"88"
"Andrus, Elvis","462101","2020","111",".234",".389",".255",".295",".289",".156",".258",".309",,28.4,5.7,37.5,65.9,26,19.5,"88"
"Stallings, Jacob","607732","2020","143",".205",".323",".309",".277",".292",".118",".385",".334",,33,4.5,37.5,60.1,20.5,26.3,"88"
"Cooper, Garrett","643265","2020","133",".303",".518",".365",".383",".371",".215",".443",".470",,39.3,10.1,41.6,55.2,27.5,22.2,"89"
"Bryant, Kris","592178","2020","147",".202",".348",".285",".284",".289",".146",".337",".335",,34.1,5.5,31.9,74.4,23.8,29.5,"91"
"Giménez, Andrés","665926","2020","132",".245",".358",".321",".303",".318",".113",".363",".338",,30.8,3.3,26.4,73.2,30.7,25.5,"91"
"Mazara, Nomar","608577","2020","149",".222",".364",".267",".291",".290",".142",".332",".371",,28.3,7.6,48.9,61.8,33.5,28.5,"92"
"Carpenter, Matt","572761","2020","169",".209",".400",".293",".330",".345",".191",".320",".388",,44.6,9.8,36.3,61.1,20.3,33.1,"92"
"Goodrum, Niko","592348","2020","179",".183",".336",".262",".265",".263",".152",".372",".379",,34.8,9.8,40.2,66.6,26.1,38.6,"92"
"Sánchez, Gary","596142","2020","178",".193",".430",".271",".314",".293",".237",".355",".440",,29.3,17.4,50,61.6,29.2,34,"92"
"Goodwin, Brian","571718","2020","164",".212",".381",".305",".298",".299",".169",".411",".398",,41.3,10.9,41.3,60.1,19.8,33.7,"92"
